Object,Julian Date,UT,Magnitude Qualifier,Magnitude,Magnitude Error,Observer Name,Method,Equipment,Filter,Chart / Sequence,Visual Estimates,CCD Measurement Data: Measurement Type;Star Type;Star Id;Measured Mag;Measured Error;Reference Mag;Reference Error,Observation_Id
"GAMMA CAS","2460678.331000","2 Jan 2025 19:57:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","5043529"
"GAMMA CAS","2460678.313000","2 Jan 2025 19:30:00","Equal","2.3000","","T L Heywood","Visual","NE","No Filter","SPA","V=D","","5091097"
"GAMMA CAS","2460664.451000","19 Dec 2024 22:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5005619"
"GAMMA CAS","2460648.266000","3 Dec 2024 18:23:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","5018407"
"GAMMA CAS","2460640.427000","25 Nov 2024 22:15:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4996725"
"GAMMA CAS","2460640.249000","25 Nov 2024 17:59:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","5008397"
"GAMMA CAS","2460636.280000","21 Nov 2024 18:43:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B-1;C+2",": ","5008396"
"GAMMA CAS","2460635.319000","20 Nov 2024 19:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4996669"
"GAMMA CAS","2460626.337000","11 Nov 2024 20:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4988874"
"GAMMA CAS","2460615.281000","31 Oct 2024 18:44:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4995631"
"GAMMA CAS","2460610.448000","26 Oct 2024 22:45:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4981198"
"GAMMA CAS","2460606.316000","22 Oct 2024 19:35:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4981146"
"GAMMA CAS","2460606.302000","22 Oct 2024 19:15:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4979924"
"GAMMA CAS","2460603.272000","19 Oct 2024 18:32:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4995630"
"GAMMA CAS","2460595.435700","11 Oct 2024 22:27:00","Equal","2.4000","","R K Hunt","Visual","NE","No Filter","64.01","C-1","","4976820"
"GAMMA CAS","2460595.311000","11 Oct 2024 19:28:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4995629"
"GAMMA CAS","2460594.434000","10 Oct 2024 22:25:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4977772"
"GAMMA CAS","2460594.393700","10 Oct 2024 21:27:00","Equal","2.4000","","R K Hunt","Visual","NE","No Filter","64","C-1","","4976798"
"GAMMA CAS","2460588.292000","4 Oct 2024 19:00:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B-1;C+2",": ","4995628"
"GAMMA CAS","2460581.392000","27 Sep 2024 21:25:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4973725"
"GAMMA CAS","2460581.330000","27 Sep 2024 19:55:00","Equal","2.4000","","R K Hunt","Visual","NE","No Filter","64.01","C-1","","4976737"
"GAMMA CAS","2460577.336000","23 Sep 2024 20:04:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4978474"
"GAMMA CAS","2460571.448000","17 Sep 2024 22:45:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4973710"
"GAMMA CAS","2460568.353000","14 Sep 2024 20:28:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4978473"
"GAMMA CAS","2460565.386000","11 Sep 2024 21:16:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B-1;C+2",": ","4978472"
"GAMMA CAS","2460564.372000","10 Sep 2024 20:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4962588"
"GAMMA CAS","2460552.427000","29 Aug 2024 22:15:00","Equal","2.5000","","S W Albrighton","Visual","NE","No Filter","064.01","C-2","","4955097"
"GAMMA CAS","2460552.402000","29 Aug 2024 21:39:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4971809"
"GAMMA CAS","2460547.417000","24 Aug 2024 22:00:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4949591"
"GAMMA CAS","2460538.462000","15 Aug 2024 23:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4949525"
"GAMMA CAS","2460534.424000","11 Aug 2024 22:10:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4947022"
"GAMMA CAS","2460532.405000","9 Aug 2024 21:43:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4971808"
"GAMMA CAS","2460529.438000","6 Aug 2024 22:30:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4946969"
"GAMMA CAS","2460520.443000","28 Jul 2024 22:38:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","C+3;D+5",": ","4944017"
"GAMMA CAS","2460517.441000","25 Jul 2024 22:35:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4933087"
"GAMMA CAS","2460508.438000","16 Jul 2024 22:30:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4933028"
"GAMMA CAS","2460502.497000","10 Jul 2024 23:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4926887"
"GAMMA CAS","2460498.472000","6 Jul 2024 23:20:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4926768"
"GAMMA CAS","2460488.462000","26 Jun 2024 23:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4918321"
"GAMMA CAS","2460484.458000","22 Jun 2024 23:00:00","Equal","2.5000","","S W Albrighton","Visual","NE","No Filter","064.01","C-2","","4918267"
"GAMMA CAS","2460474.458000","12 Jun 2024 23:00:00","Equal","2.5000","","S W Albrighton","Visual","NE","No Filter","064.01","C-2","","4918222"
"GAMMA CAS","2460468.451000","6 Jun 2024 22:50:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4908519"
"GAMMA CAS","2460463.455000","1 Jun 2024 22:55:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4908461"
"GAMMA CAS","2460457.431000","26 May 2024 22:20:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4901247"
"GAMMA CAS","2460449.448000","18 May 2024 22:45:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4899018"
"GAMMA CAS","2460442.455000","11 May 2024 22:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4898975"
"GAMMA CAS","2460438.420000","7 May 2024 22:05:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4898956"
"GAMMA CAS","2460414.392000","13 Apr 2024 21:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4886588"
"GAMMA CAS","2460408.448000","7 Apr 2024 22:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4886525"
"GAMMA CAS","2460400.327000","30 Mar 2024 19:51:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4886103"
"GAMMA CAS","2460398.469000","28 Mar 2024 23:15:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4884396"
"GAMMA CAS","2460392.451000","22 Mar 2024 22:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4884322"
"GAMMA CAS","2460392.365000","22 Mar 2024 20:45:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","A(2)V(1)C","","5036552"
"GAMMA CAS","2460392.309000","22 Mar 2024 19:25:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","4886102"
"GAMMA CAS","2460387.344000","17 Mar 2024 20:16:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4886101"
"GAMMA CAS","2460378.347000","8 Mar 2024 20:20:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4886100"
"GAMMA CAS","2460376.390000","6 Mar 2024 21:22:00","Equal","2.4000","","R B I Fraser","Visual","B10 X50","No Filter","64.01","C(3)V(2)D","","4879895"
"GAMMA CAS","2460370.455000","29 Feb 2024 22:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4874822"
"GAMMA CAS","2460367.476000","26 Feb 2024 23:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4874805"
"GAMMA CAS","2460365.294000","24 Feb 2024 19:04:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4879207"
"GAMMA CAS","2460363.351000","22 Feb 2024 20:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4871584"
"GAMMA CAS","2460363.328000","22 Feb 2024 19:53:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2;A-3",": ","5036508"
"GAMMA CAS","2460352.458000","11 Feb 2024 23:00:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4869542"
"GAMMA CAS","2460352.284000","11 Feb 2024 18:49:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4879206"
"GAMMA CAS","2460343.344000","2 Feb 2024 20:15:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","4879205"
"GAMMA CAS","2460342.455000","1 Feb 2024 22:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4869436"
"GAMMA CAS","2460340.375000","30 Jan 2024 21:00:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4864253"
"GAMMA CAS","2460336.271000","26 Jan 2024 18:30:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4868170"
"GAMMA CAS","2460332.316000","22 Jan 2024 19:35:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4864295"
"GAMMA CAS","2460328.290000","18 Jan 2024 18:58:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","4868169"
"GAMMA CAS","2460326.351000","16 Jan 2024 20:25:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4852328"
"GAMMA CAS","2460320.319000","10 Jan 2024 19:39:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4868168"
"GAMMA CAS","2460319.285000","9 Jan 2024 18:50:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4848884"
"GAMMA CAS","2460308.333000","29 Dec 2023 20:00:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4834644"
"GAMMA CAS","2460307.394400","28 Dec 2023 21:28:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4833638"
"GAMMA CAS","2460300.448000","21 Dec 2023 22:45:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4834676"
"GAMMA CAS","2460300.430900","21 Dec 2023 22:20:00","Equal","2.4000","","R K Hunt","Visual","NE","No Filter","64.01","C-1","","4833283"
"GAMMA CAS","2460300.217000","21 Dec 2023 17:12:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4848581"
"GAMMA CAS","2460296.258000","17 Dec 2023 18:11:00","Equal","2.2000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;B-1;C+1",": : ","4848580"
"GAMMA CAS","2460292.490000","13 Dec 2023 23:45:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4832866"
"GAMMA CAS","2460288.758000","10 Dec 2023 06:12:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2;A-3",": ","4848527"
"GAMMA CAS","2460287.457900","8 Dec 2023 22:59:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4828725"
"GAMMA CAS","2460287.382000","8 Dec 2023 21:10:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4828833"
"GAMMA CAS","2460285.292000","6 Dec 2023 19:00:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;B-1;C+2",": : ","4848579"
"GAMMA CAS","2460284.396000","5 Dec 2023 21:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4828800"
"GAMMA CAS","2460284.259700","5 Dec 2023 18:14:00","Equal","2.3000","","R K Hunt","Visual","NE","No Filter","64.01","=C","","4827388"
"GAMMA CAS","2460277.278000","28 Nov 2023 18:40:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4824573"
"GAMMA CAS","2460273.444000","24 Nov 2023 22:40:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4823860"
"GAMMA CAS","2460272.673000","24 Nov 2023 04:09:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4831303"
"GAMMA CAS","2460272.271100","23 Nov 2023 18:30:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4823607"
"GAMMA CAS","2460267.417000","18 Nov 2023 22:00:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4823765"
"GAMMA CAS","2460258.351000","9 Nov 2023 20:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4823689"
"GAMMA CAS","2460258.248000","9 Nov 2023 17:57:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4831302"
"GAMMA CAS","2460256.326000","7 Nov 2023 19:49:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2","","4848460"
"GAMMA CAS","2460256.306000","7 Nov 2023 19:20:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","5098193"
"GAMMA CAS","2460252.361000","3 Nov 2023 20:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4822148"
"GAMMA CAS","2460250.261000","1 Nov 2023 18:16:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4831301"
"GAMMA CAS","2460248.354000","30 Oct 2023 20:30:00","Equal","2.2000","","W J Worraker","Visual","NE","No Filter","64.01","C+1","","4848422"
"GAMMA CAS","2460247.361000","29 Oct 2023 20:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4805570"
"GAMMA CAS","2460240.314000","22 Oct 2023 19:32:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B-1;C+2",": ","4822352"
"GAMMA CAS","2460239.326000","21 Oct 2023 19:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4805460"
"GAMMA CAS","2460233.338800","15 Oct 2023 20:08:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4799869"
"GAMMA CAS","2460233.309000","15 Oct 2023 19:25:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4822351"
"GAMMA CAS","2460232.757000","15 Oct 2023 06:10:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4805753"
"GAMMA CAS","2460232.360400","14 Oct 2023 20:39:00","Equal","2.2000","","R K Hunt","Visual","NE","No Filter","64.01","C+1","","4798524"
"GAMMA CAS","2460231.319000","13 Oct 2023 19:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4800035"
"GAMMA CAS","2460227.309000","9 Oct 2023 19:25:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+2",": ","4822350"
"GAMMA CAS","2460226.413000","8 Oct 2023 21:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4799971"
"GAMMA CAS","2460221.315000","3 Oct 2023 19:34:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2","","4848365"
"GAMMA CAS","2460209.326000","21 Sep 2023 19:49:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4799646"
"GAMMA CAS","2460207.365000","19 Sep 2023 20:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4789474"
"GAMMA CAS","2460203.366000","15 Sep 2023 20:47:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4799645"
"GAMMA CAS","2460200.406000","12 Sep 2023 21:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4789416"
"GAMMA CAS","2460197.392000","9 Sep 2023 21:25:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4786694"
"GAMMA CAS","2460192.356000","4 Sep 2023 20:33:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","4799644"
"GAMMA CAS","2460192.351000","4 Sep 2023 20:26:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2","","4848281"
"GAMMA CAS","2460190.406000","2 Sep 2023 21:45:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4786551"
"GAMMA CAS","2460177.403000","20 Aug 2023 21:40:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4774328"
"GAMMA CAS","2460176.395000","19 Aug 2023 21:29:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B-1;C+2",": ","4786432"
"GAMMA CAS","2460173.372000","16 Aug 2023 20:55:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2","","4848259"
"GAMMA CAS","2460172.399000","15 Aug 2023 21:35:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4774260"
"GAMMA CAS","2460167.426000","10 Aug 2023 22:13:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","=B;C+3",": ","4786431"
"GAMMA CAS","2460160.427000","3 Aug 2023 22:15:00","Equal","2.5000","","S W Albrighton","Visual","NE","No Filter","064.01","C-2","","4773785"
"GAMMA CAS","2460146.462000","20 Jul 2023 23:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4768038"
"GAMMA CAS","2460140.465000","14 Jul 2023 23:10:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4764294"
"GAMMA CAS","2460132.462000","6 Jul 2023 23:05:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4764261"
"GAMMA CAS","2460125.458000","29 Jun 2023 23:00:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4758478"
"GAMMA CAS","2460121.521000","26 Jun 2023 00:30:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4787839"
"GAMMA CAS","2460115.465000","19 Jun 2023 23:10:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4757592"
"GAMMA CAS","2460105.465000","9 Jun 2023 23:10:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4757145"
"GAMMA CAS","2460098.455000","2 Jun 2023 22:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4757059"
"GAMMA CAS","2460091.455000","26 May 2023 22:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4746071"
"GAMMA CAS","2460085.438000","20 May 2023 22:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4745556"
"GAMMA CAS","2460078.394000","13 May 2023 21:27:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2","","4760053"
"GAMMA CAS","2460076.413000","11 May 2023 21:55:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4745451"
"GAMMA CAS","2460072.424000","7 May 2023 22:10:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4742310"
"GAMMA CAS","2460064.408000","29 Apr 2023 21:47:00","Equal","1.9000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-1;C+3",": ","4736534"
"GAMMA CAS","2460063.410000","28 Apr 2023 21:50:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4729487"
"GAMMA CAS","2460063.378000","28 Apr 2023 21:04:00","Equal","2.0000","","W J Worraker","Visual","NE","No Filter","64.01","A(1)V(1)C","","4760032"
"GAMMA CAS","2460060.394000","25 Apr 2023 21:28:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-2;C+2",": ","4736533"
"GAMMA CAS","2460058.413000","23 Apr 2023 21:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","4729445"
"GAMMA CAS","2460058.367000","23 Apr 2023 20:49:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","A(2)V(1)C","","4760029"
"GAMMA CAS","2460054.407000","19 Apr 2023 21:46:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+2",": ","4736532"
"GAMMA CAS","2460050.345000","15 Apr 2023 20:17:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","A(2)V(1)C","","4759995"
"GAMMA CAS","2460045.441000","10 Apr 2023 22:35:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4718963"
"GAMMA CAS","2460042.337000","7 Apr 2023 20:06:00","Equal","2.1000","","W J Worraker","Visual","NE","No Filter","64.01","C+2;A-3",": ","4759976"
"GAMMA CAS","2460038.653000","4 Apr 2023 03:40:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4715557"
"GAMMA CAS","2460037.424000","2 Apr 2023 22:10:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","4718905"
"GAMMA CAS","2460037.343000","2 Apr 2023 20:14:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+3",": ","4736531"
"GAMMA CAS","2460031.376000","27 Mar 2023 21:01:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-2;C+3",": ","4716673"
"GAMMA CAS","2460018.486000","14 Mar 2023 23:40:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","4704215"
"GAMMA CAS","2460003.375000","27 Feb 2023 21:00:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-3;C+3",": ","4703362"
"GAMMA CAS","2460002.351000","26 Feb 2023 20:25:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","4696588"
"GAMMA CAS","2460002.288000","26 Feb 2023 18:55:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4719153"
"GAMMA CAS","2459999.306000","23 Feb 2023 19:20:00","Equal","2.2000","","T L Heywood","Visual","NE","No Filter","SPA","D+1","","4719152"
